stat_id;date;value;method;
YOUTUBE_PIRATI_VIEWS;05.02.2019;4685720.0;None;
YOUTUBE_PIRATI_VIEWS;06.02.2019;4695230.0;None;
YOUTUBE_PIRATI_VIEWS;07.02.2019;4706240.0;None;
YOUTUBE_PIRATI_VIEWS;08.02.2019;4714620.0;None;
YOUTUBE_PIRATI_VIEWS;09.02.2019;4730320.0;None;
YOUTUBE_PIRATI_VIEWS;10.02.2019;4744880.0;None;
YOUTUBE_PIRATI_VIEWS;11.02.2019;4752180.0;None;
YOUTUBE_PIRATI_VIEWS;12.02.2019;4758330.0;None;
YOUTUBE_PIRATI_VIEWS;13.02.2019;4762790.0;None;
YOUTUBE_PIRATI_VIEWS;14.02.2019;4764580.0;None;
YOUTUBE_PIRATI_VIEWS;15.02.2019;4765750.0;None;
YOUTUBE_PIRATI_VIEWS;16.02.2019;4766950.0;None;
YOUTUBE_PIRATI_VIEWS;17.02.2019;4767970.0;None;
YOUTUBE_PIRATI_VIEWS;18.02.2019;4768920.0;None;
YOUTUBE_PIRATI_VIEWS;19.02.2019;4769970.0;None;
YOUTUBE_PIRATI_VIEWS;20.02.2019;4770670.0;None;
YOUTUBE_PIRATI_VIEWS;21.02.2019;4771330.0;None;
YOUTUBE_PIRATI_VIEWS;22.02.2019;4771860.0;None;
YOUTUBE_PIRATI_VIEWS;23.02.2019;4772380.0;None;
YOUTUBE_PIRATI_VIEWS;24.02.2019;4772880.0;None;
YOUTUBE_PIRATI_VIEWS;25.02.2019;4773280.0;None;
YOUTUBE_PIRATI_VIEWS;26.02.2019;4773780.0;None;
YOUTUBE_PIRATI_VIEWS;27.02.2019;4774480.0;None;
YOUTUBE_PIRATI_VIEWS;28.02.2019;4775030.0;None;
YOUTUBE_PIRATI_VIEWS;01.03.2019;4775430.0;None;
YOUTUBE_PIRATI_VIEWS;02.03.2019;4776060.0;None;
YOUTUBE_PIRATI_VIEWS;03.03.2019;4776590.0;None;
YOUTUBE_PIRATI_VIEWS;04.03.2019;4777070.0;None;
YOUTUBE_PIRATI_VIEWS;05.03.2019;4777530.0;None;
YOUTUBE_PIRATI_VIEWS;06.03.2019;4777950.0;None;
YOUTUBE_PIRATI_VIEWS;07.03.2019;4778260.0;None;
YOUTUBE_PIRATI_VIEWS;08.03.2019;4778820.0;None;
YOUTUBE_PIRATI_VIEWS;09.03.2019;4779250.0;None;
YOUTUBE_PIRATI_VIEWS;10.03.2019;4779740.0;None;
YOUTUBE_PIRATI_VIEWS;11.03.2019;4780150.0;None;
YOUTUBE_PIRATI_VIEWS;12.03.2019;4780560.0;None;
YOUTUBE_PIRATI_VIEWS;13.03.2019;4780900.0;None;
YOUTUBE_PIRATI_VIEWS;14.03.2019;4781370.0;None;
YOUTUBE_PIRATI_VIEWS;15.03.2019;4781860.0;None;
YOUTUBE_PIRATI_VIEWS;16.03.2019;4782270.0;None;
YOUTUBE_PIRATI_VIEWS;17.03.2019;4782700.0;None;
YOUTUBE_PIRATI_VIEWS;18.03.2019;4783140.0;None;
YOUTUBE_PIRATI_VIEWS;19.03.2019;4783610.0;None;
YOUTUBE_PIRATI_VIEWS;20.03.2019;4784460.0;None;
YOUTUBE_PIRATI_VIEWS;21.03.2019;4785370.0;None;
YOUTUBE_PIRATI_VIEWS;22.03.2019;4786610.0;None;
YOUTUBE_PIRATI_VIEWS;23.03.2019;4787610.0;None;
YOUTUBE_PIRATI_VIEWS;24.03.2019;4788380.0;None;
YOUTUBE_PIRATI_VIEWS;25.03.2019;4789160.0;None;
YOUTUBE_PIRATI_VIEWS;26.03.2019;4790370.0;None;
YOUTUBE_PIRATI_VIEWS;27.03.2019;4792270.0;None;
YOUTUBE_PIRATI_VIEWS;28.03.2019;4793630.0;None;
YOUTUBE_PIRATI_VIEWS;29.03.2019;4794370.0;None;
YOUTUBE_PIRATI_VIEWS;30.03.2019;4794950.0;None;
YOUTUBE_PIRATI_VIEWS;31.03.2019;4795570.0;None;
YOUTUBE_PIRATI_VIEWS;01.04.2019;4796040.0;None;
YOUTUBE_PIRATI_VIEWS;02.04.2019;4796530.0;None;
YOUTUBE_PIRATI_VIEWS;03.04.2019;4796990.0;None;
YOUTUBE_PIRATI_VIEWS;04.04.2019;4797420.0;None;
YOUTUBE_PIRATI_VIEWS;05.04.2019;4797840.0;None;
YOUTUBE_PIRATI_VIEWS;06.04.2019;4798270.0;None;
YOUTUBE_PIRATI_VIEWS;07.04.2019;4798730.0;None;
YOUTUBE_PIRATI_VIEWS;08.04.2019;4799170.0;None;
YOUTUBE_PIRATI_VIEWS;09.04.2019;4799630.0;None;
YOUTUBE_PIRATI_VIEWS;10.04.2019;4799930.0;None;
YOUTUBE_PIRATI_VIEWS;11.04.2019;4800330.0;None;
YOUTUBE_PIRATI_VIEWS;12.04.2019;4800730.0;None;
YOUTUBE_PIRATI_VIEWS;13.04.2019;4801170.0;None;
YOUTUBE_PIRATI_VIEWS;14.04.2019;4801600.0;None;
YOUTUBE_PIRATI_VIEWS;15.04.2019;4802080.0;None;
YOUTUBE_PIRATI_VIEWS;16.04.2019;4802490.0;None;
YOUTUBE_PIRATI_VIEWS;17.04.2019;4802910.0;None;
YOUTUBE_PIRATI_VIEWS;18.04.2019;4803290.0;None;
YOUTUBE_PIRATI_VIEWS;19.04.2019;4803650.0;None;
YOUTUBE_PIRATI_VIEWS;20.04.2019;4804180.0;None;
YOUTUBE_PIRATI_VIEWS;21.04.2019;4804660.0;None;
YOUTUBE_PIRATI_VIEWS;22.04.2019;4805080.0;None;
YOUTUBE_PIRATI_VIEWS;23.04.2019;4805490.0;None;
YOUTUBE_PIRATI_VIEWS;24.04.2019;4805920.0;None;
YOUTUBE_PIRATI_VIEWS;25.04.2019;4806300.0;None;
YOUTUBE_PIRATI_VIEWS;26.04.2019;4806520.0;None;
YOUTUBE_PIRATI_VIEWS;27.04.2019;4807170.0;None;
YOUTUBE_PIRATI_VIEWS;28.04.2019;4807630.0;None;
YOUTUBE_PIRATI_VIEWS;29.04.2019;4808390.0;None;
YOUTUBE_PIRATI_VIEWS;30.04.2019;4809010.0;None;
